season,player_id,player_name,position,team,offense_snaps,contract_match_quality,contract_match_score,exclusion_reason
2024,00-0031544,Amari Cooper,WR,BUF,667.0,fuzzy_low,86.95652173913044,fuzzy_match_below_threshold
2024,00-0036862,Ben Skowronek,WR,PIT,108.0,fuzzy_low,86.66666666666667,fuzzy_match_below_threshold
2024,00-0038685,Chris Brooks,RB,GB,200.0,fuzzy_low,85.5,fuzzy_match_below_threshold
2024,00-0035628,D'Ernest Johnson,RB,JAX,192.0,fuzzy_low,85.5,fuzzy_match_below_threshold
2024,00-0026498,Matthew Stafford,QB,LA,1148.0,fuzzy_low,89.65517241379311,fuzzy_match_below_threshold
2024,00-0033536,Mike Williams,WR,PIT,481.0,fuzzy_low,84.61538461538461,fuzzy_match_below_threshold
2024,00-0033591,Noah Brown,WR,WAS,470.0,fuzzy_low,85.5,fuzzy_match_below_threshold
2024,00-0037609,Aaron Shampklin,RB,PIT,28.0,no_match,66.66666666666667,low_sample
2024,00-0036727,Adam Prentice,RB,NO,,no_match,66.66666666666667,low_sample
2024,00-0039747,Ainias Smith,WR,PHI,96.0,exact,100.0,low_sample
2024,00-0035125,Alec Ingold,RB,MIA,,no_match,56.00000000000001,low_sample
2024,00-0035602,Alex Bachman,WR,LV,71.0,no_match,61.53846153846154,low_sample
2024,00-0031428,Allen Robinson,WR,DET,91.0,fuzzy_low,80.0,low_sample
2024,00-0034959,Andrew Beck,RB,HOU,,no_match,57.27272727272727,low_sample
2024,00-0039816,Anthony Gould,WR,IND,15.0,exact,100.0,low_sample
2024,00-0034353,Anthony Miller,WR,BAL,26.0,no_match,74.07407407407408,low_sample
2024,00-0036841,Austin Trammell,WR,JAX,33.0,exact,100.0,low_sample
2024,00-0038108,Bailey Zappe,QB,CLE,53.0,exact,100.0,low_sample
2024,00-0039316,Baylor Cupp,TE,KC,6.0,no_match,48.0,low_sample
2024,00-0039573,Blake Watson,RB,DEN,11.0,no_match,63.333333333333336,low_sample
2024,00-0032434,Brandon Allen,QB,SF,54.0,exact,100.0,low_sample
2024,00-0037382,Brandon Johnson,WR,PIT,19.0,exact,100.0,low_sample
2024,00-0038643,Brayden Willis,TE,SF,25.0,exact,100.0,low_sample
2024,00-0039458,Brenden Bates,TE,CLE,41.0,exact,100.0,low_sample
2024,00-0036556,Brevin Jordan,TE,HOU,67.0,exact,100.0,low_sample
2024,00-0037132,Britain Covey,WR,PHI,50.0,exact,100.0,low_sample
2024,00-0039603,British Brooks,RB,HOU,9.0,exact,100.0,low_sample
2024,00-0038477,Bryce Ford-Wheaton,WR,NYG,2.0,fuzzy_low,85.5,low_sample
