player_name,team,position,apy,cap_hit
Patrick Mahomes,KC,QB,45000000,
Josh Allen,BUF,QB,43000000,
Joe Burrow,CIN,QB,55000000,
Dak Prescott,DAL,QB,60000000,
Lamar Jackson,BAL,QB,52000000,
Jared Goff,DET,QB,53000000,
Tua Tagovailoa,MIA,QB,53100000,
Jordan Love,GB,QB,55000000,
Trevor Lawrence,JAX,QB,55000000,
Justin Herbert,LAC,QB,52500000,
Kyler Murray,ARI,QB,46100000,
Christian McCaffrey,SF,RB,19000000,
Saquon Barkley,PHI,RB,12580000,
Derrick Henry,BAL,RB,8000000,
Josh Jacobs,GB,RB,12000000,
Jonathan Taylor,IND,RB,14000000,
Justin Jefferson,MIN,WR,35000000,
CeeDee Lamb,DAL,WR,34000000,
A.J. Brown,PHI,WR,32000000,
Amon-Ra St. Brown,DET,WR,30000000,
Ja'Marr Chase,CIN,WR,40250000,
Tyreek Hill,MIA,WR,30000000,
DK Metcalf,PIT,WR,33000000,
Davante Adams,NYJ,WR,28000000,
Travis Kelce,KC,TE,17100000,
Trey McBride,ARI,TE,19000000,
T.J. Hockenson,MIN,TE,16500000,
George Kittle,SF,TE,15000000,
Mark Andrews,BAL,TE,14000000,
